id,label
0,5
1,9
2,4
3,1
4,1
5,5
6,9
7,3
8,3
9,7
10,7
11,3
12,9
13,8
14,0
15,7
16,7
17,3
18,5
19,3
20,3
21,3
22,9
23,3
24,3
25,5
26,7
27,7
28,0
29,4
30,4
31,0
32,8
33,3
34,6
35,3
36,8
37,3
38,9
39,9
40,3
41,1
42,5
43,9
44,8
45,7
46,3
47,3
48,3
49,6
50,9
51,6
52,0
53,0
54,8
55,3
56,7
57,3
58,3
59,3
60,3
61,7
62,8
63,7
64,0
65,0
66,4
67,6
68,3
69,3
70,3
71,8
72,3
73,5
74,9
75,4
76,9
77,7
78,4
79,5
80,0
81,1
82,6
83,9
84,7
85,3
86,3
87,9
88,1
89,6
90,0
91,8
92,0
93,3
94,7
95,7
96,3
97,3
98,8
99,8
100,3
101,3
102,7
103,3
104,5
105,3
106,3
107,7
108,9
109,3
110,3
111,3
112,1
113,5
114,9
115,9
116,9
117,4
118,5
119,1
120,5
121,9
122,3
123,7
124,3
125,3
126,3
127,8
128,3
129,3
130,8
131,7
132,3
133,3
134,3
135,3
136,7
137,3
138,9
139,7
140,1
141,8
142,4
143,8
144,7
145,3
146,3
147,3
148,1
149,5
150,3
151,9
152,5
153,3
154,3
155,9
156,3
157,9
158,4
159,0
160,3
161,3
162,3
163,3
164,3
165,7
166,7
167,6
168,7
169,0
170,4
171,0
172,8
173,6
174,6
175,3
176,3
177,3
178,6
179,5
180,5
181,1
182,3
183,7
184,8
185,1
186,0
187,4
188,3
189,3
190,9
191,0
192,9
193,4
194,8
195,8
196,4
197,5
198,3
199,3
200,7
201,7
202,7
203,9
204,6
205,6
206,9
207,9
208,6
209,3
210,3
211,9
212,5
213,9
214,1
215,9
216,3
217,5
218,1
219,7
220,9
221,9
222,3
223,3
224,0
225,4
226,8
227,5
228,8
229,7
230,7
231,3
232,3
233,7
234,9
235,8
236,6
237,8
238,3
239,9
240,6
241,9
242,6
243,3
244,8
245,5
246,0
247,7
248,9
249,3
250,9
251,3
252,3
253,8
254,0
255,5
256,8
257,7
258,3
259,3
260,3
261,3
262,7
263,3
264,3
265,3
266,9
267,4
268,7
269,8
270,8
271,9
272,3
273,3
274,3
275,3
276,9
277,3
278,9
279,1
280,1
281,5
282,1
283,3
284,3
285,9
286,3
287,8
288,3
289,3
290,3
291,3
292,9
293,3
294,3
295,3
296,7
297,3
298,3
299,3
300,8
301,8
302,0
303,0
304,4
305,8
306,8
307,6
308,4
309,3
310,3
311,1
312,9
313,7
314,9
315,6
316,9
317,3
318,3
319,3
320,8
321,7
322,4
323,7
324,6
325,7
326,3
327,3
328,3
329,3
330,3
331,3
332,1
333,4
334,9
335,4
336,3
337,9
338,3
339,3
340,1
341,0
342,7
343,9
344,9
345,3
346,3
347,6
348,3
349,8
350,8
351,4
352,3
353,8
354,3
355,3
356,3
357,3
358,8
359,7
360,6
361,4
362,9
363,8
364,3
365,8
366,3
367,6
368,3
369,8
370,9
371,9
372,9
373,0
374,1
375,1
376,1
377,6
378,9
379,7
380,1
381,3
382,3
383,3
384,5
385,8
386,4
387,0
388,0
389,7
390,4
391,3
392,8
393,8
394,3
395,7
396,7
397,7
398,4
399,4
400,7
401,4
402,3
403,3
404,7
405,3
406,3
407,3
408,9
409,5
410,5
411,7
412,8
413,1
414,1
415,5
416,3
417,3
418,6
419,3
420,8
421,4
422,9
423,8
424,7
425,3
426,9
427,8
428,8
429,3
430,3
431,3
432,3
433,8
434,3
435,3
436,7
437,3
438,9
439,8
440,0
441,4
442,0
443,6
444,3
445,6
446,7
447,3
448,3
449,5
450,4
451,9
452,1
453,5
454,5
455,3
456,3
457,3
458,7
459,4
460,0
461,9
462,9
463,7
464,7
465,3
466,3
467,9
468,3
469,3
470,9
471,3
472,3
473,3
474,8
475,5
476,1
477,3
478,6
479,3
480,3
481,3
482,3
483,8
484,5
485,5
486,3
487,9
488,1
489,5
490,9
491,8
492,3
493,3
494,7
495,0
496,7
497,8
498,0
499,3
500,3
501,8
502,3
503,7
504,3
505,3
506,3
507,9
508,3
509,3
510,3
511,8
512,3
513,8
514,0
515,1
516,3
517,3
518,3
519,6
520,8
521,8
522,4
523,1
524,3
525,3
526,7
527,7
528,3
529,3
530,8
531,9
532,8
533,3
534,3
535,8
536,3
537,3
538,3
539,3
540,3
541,3
542,7
543,7
544,3
545,3
546,4
547,4
548,8
549,9
550,3
551,3
552,3
553,1
554,5
555,5
556,7
557,5
