id,label
0,5
1,9
2,4
3,1
4,5
5,5
6,9
7,1
8,3
9,7
10,7
11,0
12,1
13,8
14,3
15,7
16,7
17,3
18,5
19,3
20,3
21,4
22,0
23,8
24,3
25,5
26,1
27,7
28,0
29,3
30,4
31,7
32,3
33,5
34,6
35,3
36,6
37,6
38,9
39,9
40,0
41,1
42,7
43,9
44,8
45,7
46,3
47,3
48,3
49,6
50,9
51,6
52,3
53,0
54,8
55,6
56,8
57,8
58,6
59,7
60,8
61,3
62,8
63,7
64,0
65,0
66,3
67,6
68,3
69,3
70,3
71,4
72,3
73,8
74,1
75,4
76,9
77,6
78,4
79,7
80,0
81,4
82,6
83,5
84,7
85,3
86,3
87,7
88,1
89,6
90,0
91,8
92,0
93,8
94,4
95,7
96,7
97,3
98,3
99,3
100,4
101,6
102,7
103,3
104,7
105,3
106,3
107,4
108,1
109,3
110,3
111,9
112,4
113,7
114,1
115,9
116,9
117,4
118,5
119,1
120,5
121,9
122,7
123,9
124,3
125,3
126,3
127,8
128,3
129,3
130,3
131,7
132,4
133,3
134,5
135,4
136,7
137,3
138,5
139,4
140,5
141,1
142,4
143,8
144,7
145,6
146,3
147,7
148,9
149,5
150,4
151,9
152,5
153,6
154,7
155,9
156,3
157,9
158,4
159,0
160,3
161,8
162,0
163,4
164,3
165,6
166,9
167,6
168,3
169,0
170,3
171,0
172,8
173,3
174,6
175,3
176,3
177,6
178,6
179,5
180,0
181,1
182,0
183,6
184,1
185,1
186,0
187,1
188,6
189,6
190,4
191,6
192,1
193,4
194,8
195,8
196,4
197,5
198,6
199,3
200,7
201,5
202,7
203,3
204,6
205,6
206,9
207,9
208,6
209,3
210,0
211,9
212,9
213,1
214,1
215,7
216,5
217,5
218,1
219,7
220,9
221,6
222,6
223,3
224,6
225,4
226,8
227,1
228,8
229,0
230,7
231,9
232,4
233,5
234,0
235,8
236,6
237,4
238,4
239,9
240,6
241,9
242,6
243,0
244,5
245,5
246,0
247,6
248,9
249,3
250,9
251,3
252,6
253,8
254,0
255,4
256,8
257,6
258,9
259,3
260,8
261,0
262,5
263,6
264,3
265,3
266,8
267,4
268,3
269,8
270,6
271,9
272,6
273,6
274,3
275,4
276,9
277,0
278,9
279,1
280,1
281,5
282,1
283,7
284,3
285,4
286,6
287,8
288,0
289,3
290,4
291,0
292,9
293,4
294,9
295,4
296,4
297,3
298,3
299,3
300,8
301,8
302,0
303,0
304,4
305,8
306,3
307,6
308,6
309,3
310,3
311,1
312,4
313,6
314,6
315,7
316,9
317,7
318,3
319,3
320,3
321,3
322,4
323,1
324,6
325,7
326,3
327,7
328,0
329,3
330,4
331,0
332,4
333,4
334,1
335,4
336,3
337,0
338,3
339,3
340,1
341,6
342,5
343,9
344,9
345,3
346,3
347,6
348,6
349,8
350,8
351,4
352,3
353,8
354,6
355,3
356,0
357,8
358,3
359,7
360,3
361,5
362,1
363,6
364,3
365,8
366,3
367,6
368,1
369,6
370,9
371,1
372,9
373,5
374,1
375,1
376,6
377,7
378,9
379,1
380,1
381,3
382,6
383,3
384,1
385,3
386,4
387,0
388,0
389,9
390,5
391,8
392,8
393,8
394,3
395,7
396,1
397,3
398,1
399,4
400,3
401,4
402,3
403,3
404,7
405,3
406,3
407,0
408,1
409,4
410,1
411,7
412,1
413,4
414,6
415,5
416,1
417,3
418,6
419,0
420,6
421,4
422,0
423,8
424,7
425,3
426,4
427,3
428,3
429,3
430,3
431,3
432,3
433,3
434,8
435,3
436,7
437,3
438,1
439,8
440,0
441,5
442,0
443,6
444,3
445,6
446,4
447,7
448,6
449,7
450,4
451,9
452,4
453,5
454,7
455,4
456,7
457,3
458,7
459,4
460,0
461,4
462,3
463,7
464,3
465,4
466,9
467,8
468,3
469,3
470,9
471,9
472,8
473,3
474,8
475,3
476,1
477,3
478,6
479,4
480,0
481,7
482,3
483,8
484,5
485,5
486,5
487,9
488,1
489,4
490,9
491,6
492,1
493,3
494,6
495,1
496,9
497,8
498,0
499,3
500,3
501,8
502,3
503,7
504,7
505,8
506,3
507,0
508,3
509,3
510,3
511,8
512,3
513,8
514,7
515,1
516,8
517,3
518,3
519,6
520,1
521,1
522,4
523,1
524,8
525,6
526,4
527,7
528,3
529,5
530,1
531,3
532,4
533,3
534,3
535,8
536,6
537,8
538,9
539,3
540,3
541,7
542,7
543,7
544,7
545,3
546,3
547,4
548,8
549,0
550,7
551,3
552,7
553,1
554,9
555,5
556,6
557,5
